RowNumber,CustomerId,CreditScore,Tenure,Balance,HasCrCard,IsActiveMember
1,15634602,619,2,0.0,1,1
2,15647311,608,1,83807.86,0,1
3,15619304,502,8,159660.8,1,0
4,15701354,699,1,0.0,0,0
5,15737888,850,2,125510.82,1,1
6,15574012,645,8,113755.78,1,0
7,15592531,822,7,0.0,1,1
8,15656148,376,4,115046.74,1,0
9,15792365,501,4,142051.07,0,1
10,15592389,684,2,134603.88,1,1
11,15767821,528,6,102016.72,0,0
12,15737173,497,3,0.0,1,0
13,15632264,476,10,0.0,1,0
14,15691483,549,5,0.0,0,0
15,15600882,635,7,0.0,1,1
16,15643966,616,3,143129.41,0,1
17,15737452,653,1,132602.88,1,0
18,15788218,549,9,0.0,1,1
19,15661507,587,6,0.0,0,0
20,15568982,726,6,0.0,1,1
21,15577657,732,8,0.0,1,1
22,15597945,636,8,0.0,1,0
23,15699309,510,4,0.0,1,0
24,15725737,669,3,0.0,0,1
25,15625047,846,5,0.0,1,1
26,15738191,577,3,0.0,0,1
27,15736816,756,2,136815.64,1,1
28,15700772,571,9,0.0,0,0
29,15728693,574,3,141349.43,1,1
30,15656300,411,0,59697.17,1,1
31,15589475,591,3,0.0,1,0
32,15706552,533,7,85311.7,0,1
33,15750181,553,9,110112.54,0,0
34,15659428,520,6,0.0,1,1
35,15732963,722,9,0.0,1,1
36,15794171,475,0,134264.04,1,0
37,15788448,490,3,145260.23,0,1
38,15729599,804,7,76548.6,0,1
39,15717426,850,7,0.0,1,1
40,15585768,582,6,70349.48,0,1
41,15619360,472,4,0.0,1,0
42,15738148,465,8,122522.32,0,0
43,15687946,556,2,117419.35,1,1
44,15755196,834,2,131394.56,0,0
45,15684171,660,5,155931.11,1,1
46,15754849,776,4,109421.13,1,1
47,15602280,829,9,112045.67,1,1
48,15771573,637,9,137843.8,1,1
49,15766205,550,2,103391.38,0,1
50,15771873,776,2,103769.22,1,0
51,15616550,698,10,116363.37,1,0
52,15768193,585,5,146050.97,0,0
53,15683553,788,5,0.0,0,0
54,15702298,655,8,125561.97,0,0
55,15569590,601,1,98495.72,1,0
56,15760861,619,1,125211.92,1,1
57,15630053,656,5,127864.4,1,0
58,15647091,725,0,75888.2,0,0
59,15623944,511,4,0.0,1,0
60,15804771,614,4,40685.92,1,1
61,15651280,742,5,136857.0,0,0
62,15773469,687,9,152328.88,0,0
63,15702014,555,1,56084.69,0,0
64,15751208,684,8,78707.16,1,1
65,15592461,603,4,109166.37,1,1
66,15789484,751,6,169831.46,1,1
67,15696061,581,1,101633.04,1,0
68,15641582,735,10,123180.01,1,1
69,15638424,661,5,150725.53,0,1
70,15755648,675,8,98373.26,1,0
71,15703793,738,2,133745.44,1,0
72,15620344,813,6,0.0,1,0
